County,County Code,UCD - Drug/Alcohol Induced,UCD - Drug/Alcohol Induced Code,UCD - Drug/Alcohol Induced Cause,UCD - Drug/Alcohol Induced Cause Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,MCD - Drug/Alcohol Induced Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate
"District of Columbia, DC",11001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,407,678972,59.9
"District of Columbia, DC",11001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,367,678972,54.1
"District of Columbia, DC",11001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,70,678972,10.3
"District of Columbia, DC",11001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,32,678972,4.7
"District of Columbia, DC",11001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,407,678972,59.9
"District of Columbia, DC",11001,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13,678972,Unreliable
"District of Columbia, DC",11001,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,13,678972,Unreliable
"District of Columbia, DC",11001,Drug-induced causes,D,All other drug-induced causes,D9,Drug-induced causes,D,All other drug-induced causes,D9,13,678972,Unreliable
"District of Columbia, DC",11001,Drug-induced causes,D,All other drug-induced causes,D9,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,13,678972,Unreliable
"Alachua County, FL",12001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,48,285994,16.8
"Alachua County, FL",12001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,48,285994,16.8
"Bay County, FL",12005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,58,190769,30.4
"Bay County, FL",12005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,51,190769,26.7
"Bay County, FL",12005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,58,190769,30.4
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,247,643979,38.4
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,62,643979,9.6
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,30,643979,4.7
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,14,643979,Unreliable
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,247,643979,38.4
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,23,643979,3.6
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,23,643979,3.6
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,22,643979,3.4
"Brevard County, FL",12009,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,22,643979,3.4
"Broward County, FL",12011,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,522,1962531,26.6
"Broward County, FL",12011,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,419,1962531,21.3
"Broward County, FL",12011,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,95,1962531,4.8
"Broward County, FL",12011,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,32,1962531,1.6
"Broward County, FL",12011,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,522,1962531,26.6
"Broward County, FL",12011,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,14,1962531,Unreliable
"Broward County, FL",12011,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,14,1962531,Unreliable
"Charlotte County, FL",12015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,52,206134,25.2
"Charlotte County, FL",12015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,47,206134,22.8
"Charlotte County, FL",12015,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,52,206134,25.2
"Citrus County, FL",12017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,70,166696,42
"Citrus County, FL",12017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,15,166696,Unreliable
"Citrus County, FL",12017,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,70,166696,42
"Clay County, FL",12019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,53,232439,22.8
"Clay County, FL",12019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,43,232439,18.5
"Clay County, FL",12019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,53,232439,22.8
"Collier County, FL",12021,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,101,404310,25
"Collier County, FL",12021,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,11,404310,Unreliable
"Collier County, FL",12021,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,24,404310,5.9
"Collier County, FL",12021,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,101,404310,25
"Columbia County, FL",12023,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,73063,35.6
"Columbia County, FL",12023,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,21,73063,28.7
"Columbia County, FL",12023,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,26,73063,35.6
"Dixie County, FL",12029,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,17465,Unreliable
"Dixie County, FL",12029,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,10,17465,Unreliable
"Duval County, FL",12031,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,430,1030822,41.7
"Duval County, FL",12031,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,336,1030822,32.6
"Duval County, FL",12031,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,43,1030822,4.2
"Duval County, FL",12031,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,28,1030822,2.7
"Duval County, FL",12031,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,430,1030822,41.7
"Duval County, FL",12031,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,16,1030822,Unreliable
"Duval County, FL",12031,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,16,1030822,Unreliable
"Duval County, FL",12031,Drug-induced causes,D,All other drug-induced causes,D9,Drug-induced causes,D,All other drug-induced causes,D9,11,1030822,Unreliable
"Duval County, FL",12031,Drug-induced causes,D,All other drug-induced causes,D9,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,10,1030822,Unreliable
"Escambia County, FL",12033,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,197,326928,60.3
"Escambia County, FL",12033,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,144,326928,44
"Escambia County, FL",12033,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,19,326928,Unreliable
"Escambia County, FL",12033,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,197,326928,60.3
"Flagler County, FL",12035,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,33,131439,25.1
"Flagler County, FL",12035,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,31,131439,23.6
"Flagler County, FL",12035,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,33,131439,25.1
"Gadsden County, FL",12039,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,43833,Unreliable
"Gadsden County, FL",12039,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,11,43833,Unreliable
"Gadsden County, FL",12039,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,12,43833,Unreliable
"Hendry County, FL",12051,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,43333,Unreliable
"Hendry County, FL",12051,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,13,43333,Unreliable
"Hernando County, FL",12053,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,78,212807,36.7
"Hernando County, FL",12053,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,29,212807,13.6
"Hernando County, FL",12053,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,78,212807,36.7
"Highlands County, FL",12055,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,107614,19.5
"Highlands County, FL",12055,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,18,107614,Unreliable
"Highlands County, FL",12055,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,21,107614,19.5
"Hillsborough County, FL",12057,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,467,1535564,30.4
"Hillsborough County, FL",12057,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,446,1535564,29
"Hillsborough County, FL",12057,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,74,1535564,4.8
"Hillsborough County, FL",12057,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,467,1535564,30.4
"Hillsborough County, FL",12057,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,20,1535564,1.3
"Hillsborough County, FL",12057,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,20,1535564,1.3
"Hillsborough County, FL",12057,Drug-induced causes,D,All other drug-induced causes,D9,Drug-induced causes,D,All other drug-induced causes,D9,13,1535564,Unreliable
"Hillsborough County, FL",12057,Drug-induced causes,D,All other drug-induced causes,D9,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,12,1535564,Unreliable
"Indian River County, FL",12061,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,47,169795,27.7
"Indian River County, FL",12061,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,41,169795,24.1
"Indian River County, FL",12061,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,47,169795,27.7
"Lake County, FL",12069,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,108,424462,25.4
"Lake County, FL",12069,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,27,424462,6.4
"Lake County, FL",12069,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,108,424462,25.4
"Lee County, FL",12071,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,216,834573,25.9
"Lee County, FL",12071,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,119,834573,14.3
"Lee County, FL",12071,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,39,834573,4.7
"Lee County, FL",12071,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,216,834573,25.9
"Lee County, FL",12071,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,21,834573,2.5
"Lee County, FL",12071,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,21,834573,2.5
"Lee County, FL",12071,Drug-induced causes,D,All other drug-induced causes,D9,Drug-induced causes,D,All other drug-induced causes,D9,10,834573,Unreliable
"Leon County, FL",12073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,37,296913,12.5
"Leon County, FL",12073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,33,296913,11.1
"Leon County, FL",12073,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,37,296913,12.5
"Levy County, FL",12075,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,46545,Unreliable
"Levy County, FL",12075,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,15,46545,Unreliable
"Manatee County, FL",12081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,150,441095,34
"Manatee County, FL",12081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,137,441095,31.1
"Manatee County, FL",12081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,23,441095,5.2
"Manatee County, FL",12081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,19,441095,Unreliable
"Manatee County, FL",12081,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,150,441095,34
"Marion County, FL",12083,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,201,409959,49
"Marion County, FL",12083,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,35,409959,8.5
"Marion County, FL",12083,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,24,409959,5.9
"Marion County, FL",12083,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,201,409959,49
"Marion County, FL",12083,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,10,409959,Unreliable
"Marion County, FL",12083,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,10,409959,Unreliable
"Martin County, FL",12085,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,41,163315,25.1
"Martin County, FL",12085,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,33,163315,20.2
"Martin County, FL",12085,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,41,163315,25.1
"Miami-Dade County, FL",12086,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,360,2686867,13.4
"Miami-Dade County, FL",12086,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,300,2686867,11.2
"Miami-Dade County, FL",12086,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,72,2686867,2.7
"Miami-Dade County, FL",12086,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,10,2686867,Unreliable
"Miami-Dade County, FL",12086,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,360,2686867,13.4
"Miami-Dade County, FL",12086,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,17,2686867,Unreliable
"Miami-Dade County, FL",12086,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,17,2686867,Unreliable
"Miami-Dade County, FL",12086,Drug-induced causes,D,All other drug-induced causes,D9,Drug-induced causes,D,All other drug-induced causes,D9,12,2686867,Unreliable
"Monroe County, FL",12087,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,21,80614,26.1
"Monroe County, FL",12087,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,21,80614,26.1
"Nassau County, FL",12089,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,36,101501,35.5
"Nassau County, FL",12089,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,22,101501,21.7
"Nassau County, FL",12089,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,36,101501,35.5
"Okaloosa County, FL",12091,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,83,218464,38
"Okaloosa County, FL",12091,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,58,218464,26.5
"Okaloosa County, FL",12091,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,13,218464,Unreliable
"Okaloosa County, FL",12091,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,83,218464,38
"Orange County, FL",12095,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,356,1471416,24.2
"Orange County, FL",12095,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,336,1471416,22.8
"Orange County, FL",12095,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,45,1471416,3.1
"Orange County, FL",12095,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,All other alcohol-induced causes,A9,10,1471416,Unreliable
"Orange County, FL",12095,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,356,1471416,24.2
"Orange County, FL",12095,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,34,1471416,2.3
"Orange County, FL",12095,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,34,1471416,2.3
"Osceola County, FL",12097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,139,437784,31.8
"Osceola County, FL",12097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,135,437784,30.8
"Osceola County, FL",12097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,18,437784,Unreliable
"Osceola County, FL",12097,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,139,437784,31.8
"Palm Beach County, FL",12099,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,459,1533801,29.9
"Palm Beach County, FL",12099,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Drug-induced causes,D,All other drug-induced causes,D9,298,1533801,19.4
"Palm Beach County, FL",12099,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,60,1533801,3.9
